Nama,Nilai_Ujian
"Ogino, Chihiro (荻野 千尋)",65.065155
"Konno, Yuuki (紺野 木綿季)",69.49173
"Nagumo, Hajime (南雲 ハジメ)",64.77229
"Satou, Mafuyu (佐藤 真冬)",69.0011
"Sung, Jin-Woo (성 진우)",68.41789
"Kirishima, Eijirou (切島 鋭児郎)",68.85688
"Hirasawa, Yui (平沢 唯)",71.988266
"Michaelis, Sebastian (セバスチャン・ミカエリス)",70.96316
"Amane, Misa (弥 海砂)",68.54247
Yato (夜ト),73.17465
"Mashiro, Moritaka (真城 最高)",60.40631
"Oga, Tatsumi (男鹿 辰巳)",65.771034
"Plisetsky, Yuri (ユーリ・プリセツキー)",69.10133
"Yuuki, Makoto (有里 湊 / 結城 理)",63.66278
"Dreyar, Laxus (ラクサス・ドレアー)",64.68739
"Souma, Momiji (草摩 紅葉)",64.82729
"Yatogami, Tooka (夜刀神 十香)",66.51618
"Lagusa, Angelo (アヴィリオ・ブルーノ / アンジェロ・ラクーザ)",64.55287
Diablo (ディアブロ),63.846527
Alucard (アーカード),70.763916
"Miniwa, Tsumiki (御庭 つみき)",63.455246
"Shirayuki, Mizore (白雪 みぞれ)",64.20031
"Stein, Franken (フランケン シュタイン)",66.79506
"Arima, Kousei (有馬 公生)",68.55638
"Higashikata, Jousuke (東方 定助)",65.036804
"Ichinose, Kotomi (一ノ瀬 ことみ)",64.110016
Ymir (ユミル),63.895466
Frieren (フリーレン),72.55232
"Nota Seniorious, Chtholly (クトリ・ノタ・セニオリス)",66.06151
"Tsutsukakushi, Tsukiko (筒隠 月子)",64.1032
"Sukehiro, Yami (ヤミ・スケヒロ)",71.04824
Kumoko (私),66.424225
"Degurechaff, Tanya (ターニャ・デグレチャフ)",69.409515
"Oshino, Meme (忍野 メメ)",67.1037
The Skull Knight (髑髏の騎士),65.924065
"Hyakuya, Yuuichirou (百夜 優一郎)",65.61029
"Nanba, Mutta (南波六太)",62.834793
"Harvent, Miria (ミリア・ハーヴェント)",68.54077
"Argyle, Felix (フェリックス・アーガイル / フェリス)",64.50838
"Sakuragi, Hanamichi (桜木 花道)",69.623665
"Hoshino, Ai (星野 アイ)",71.01036
"Mabuchi, Kou (馬渕 洸)",66.675354
"Hazuki, Nagisa (葉月 渚)",63.896942
"Cranel, Bell (ベル・クラネル)",67.17836
"Mitsuba, Sousuke (三葉 惣助)",63.625618
"Yashiro, Nene (八尋 寧々)",62.5485
"Okumura, Rin (奥村 燐)",70.78667
"Furude, Rika (古手 梨花)",69.85179
Jeanne (ジャンヌ),61.671997
"Rengoku, Kyoujurou (煉獄 杏寿郎)",68.88147
"Pheles, Mephisto (メフィスト・フェレス)",66.7799
"Evergarden, Violet (ヴァイオレット・エヴァーガーデン)",73.62686
Yami Yuugi (闇の遊戯),69.14226
Shiro (シロ),67.063
Death the Kid (デス・ザ・キッド),69.25546
"Aioi, Yuuko (相生 祐子)",67.75331
"Gasai, Yuno (我妻 由乃)",71.983925
"Victoria, Seras (セラス・ヴィクトリア)",65.189316
"Ishida, Uryuu (石田 雨竜)",61.840843
"Katsura, Kotarou (桂 小太郎)",71.86027
"Kaburagi, Kotetsu T. (鏑木・Ｔ・虎徹/ ワイルドタイガー)",64.51682
"Milizé, Vladilena (ヴラディレーナ・ミリーゼ)",70.456215
All Might (オール・マイト),69.887405
"Ayanami, Rei (綾波 レイ)",73.37892
"Giovanna, Giorno (ジョルノ・ジョバァーナ)",68.70393
"Midorima, Shintarou (緑間 真太郎)",63.76933
"Saluja, Alibaba (アリババ・サルージャ)",66.43569
"Katsuragi, Misato (葛城 ミサト)",71.4959
"Sakagami, Tomoyo (坂上 智代)",68.60822
"Marvell, Wendy (ウェンディ・マーベル)",60.323135
"Sanka, Rea (散華 礼弥)",64.14608
Denji (デンジ),71.23198
"Armstrong, Alex Louis (アレックス・ルイ・アームストロング)",66.93901
"Migurdia, Roxy (ロキシー・ミグルディア)",69.54349
"Nishikigi, Chisato (錦木 千束)",69.35082
"Kuwabara, Kazuma (桑原 和真)",65.86246
Iris (アイリス),64.05295
"Azusagawa, Kaede (梓川 花楓)",62.247334
Caiman (カイマン),66.014206
"Souryuu, Asuka Langley (惣流・アスカ・ラングレー)",71.55931
"Tsukiyama, Shuu (月山 習)",63.703182
"Emiya, Kiritsugu (衛宮 切嗣)",70.52594
"Morita, Shinobu (森田 忍)",63.093403
"Braun, Gabi (ガビ・ブラウン)",70.71961
"Mercury, Rory (ロゥリィ・マーキュリー)",69.16681
"Okita, Sougo (沖田 総悟)",67.66826
"Kotegawa, Chisa (古手川 千紗)",69.55474
"Echizen, Ryouma (越前  リョーマ)",63.704044
Tatsumaki (戦慄のタツマキ),68.07787
"Ishigami, Senkuu (石神 千空)",69.46404
Archer (アーチャー),68.498535
"Samejima, Mamimi (サメジマ・マミ美)",65.89093
"Kanzaki, Urumi (神崎 麗美)",63.52626
"Futaba, Rio (双葉 理央)",68.0321
"Midoriya, Izuku (緑谷 出久)",73.4668
"Haninozuka, Mitsukuni (埴之塚 光邦)",65.386696
Balalaika (バラライカ),65.42635
"Shihouin, Yoruichi (四楓院 夜一)",68.84133
"Lamperouge, Lelouch (ルルーシュ・ランペルージ)",74.26014
"Nakiri, Erina (薙切 えりな)",67.128685
Phosphophyllite (フォスフォフィライト),68.90424
Morgiana (モルジアナ),65.315384
"Izumi, Shinichi (泉 新一)",67.88377
Kino (キノ),68.597206
"Deviluke, Lala Satalin (ララ・サタリン・デビルーク)",67.78793
"Hino, Rei (火野 レイ)",64.80552
"Nijimura, Okuyasu (虹村 億泰)",65.37675
Lucy (ルーシー),67.86593
"Hanagaki, Takemichi (花垣 武道)",66.21118
"Nara, Shikamaru (奈良 シカマル)",71.956024
Aladdin (アラジン),65.27135
"Aizawa, Shouta (相澤 消太)",69.38145
"Gotou, Hitori (後藤 ひとり)",70.683685
"Wallenstein, Ais (アイズ・ヴァレンシュタイン)",69.24917
"Fujiwara, Bunta (藤原 文太)",64.10042
"Anarchy, Stocking (ストッキング・アナーキー)",66.72925
"Okazaki, Tomoya (岡崎 朋也)",71.093346
Himmel (ヒンメル),62.49355
"Aragaki, Ayase (新垣 あやせ)",60.06388
"Asui, Tsuyu (蛙吹 梅雨)",68.48824
"Portgas D., Ace (ポートガス・D・エース)",68.21861
"Anderson, Alexander (アレクサンド・アンデルセン)",58.34772
"Tempest, Rimuru (リムル＝テンペスト)",72.60259
"Getou, Suguru (夏油 傑)",66.50737
"Thierry, Laurent (ローラン・ティエリー)",61.91901
"Kagamihara, Nadeshiko (各務原 なでしこ)",66.01611
Ein (アイン),65.02334
"Albarn, Maka (マカ＝アルバーン)",68.63211
"Fujibayashi, Kyou (藤林 杏)",68.136246
"Zenin, Maki (禪院 真希)",68.6432
"Kamado, Nezuko (竈門 禰豆子)",69.6733
"Momobami, Kirari (桃喰 綺羅莉)",60.69342
"Hitachiin, Kaoru (常陸院 馨)",65.537636
Tatsumi (タツミ),66.25032
"Iwakura, Lain (岩倉 玲音)",70.61588
"Nakano, Nino (中野 二乃)",72.58717
Togata (トガタ),62.792007
Zero Two (ゼロツー),74.32548
"Azusagawa, Sakuta (梓川 咲太)",71.89792
"Suwa, Hiroto (須和 弘人)",63.44325
"Ogiwara, Sayu (荻原 沙優)",63.348892
"Kuujou, Joutarou (空条 承太郎)",72.71164
Jin (仁),68.64928
"Ackerman, Mikasa (ミカサ・アッカーマン)",72.569305
Rem (レム),73.313126
"Callenreese, Aslan Jade (アスラン・ジェイド・カーレンリース / アッシュ・リンクス)",70.46282
"Paladiknight, Leorio (レオリオ=パラディナｲﾄ)",68.026985
"Sunohara, Youhei (春原 陽平)",63.632008
Hei (黒（ヘイ）),71.22798
"Kanbaru, Suruga (神原 駿河)",69.21025
"Fullbuster, Gray (グレイ・フルバスター)",68.21958
"Doma, Umaru (土間 埋)",67.877495
"Okumura, Eiji (奥村 英二)",68.118675
Vash the Stampede (ヴァッシュ・ザ・スタンピード),71.17544
Monokuma (モノクマ),63.267906
"Onizuka, Eikichi (鬼塚 英吉)",74.31627
"Endo, Kenji (遠藤 健児)",64.22548
"Hitachiin, Hikaru (常陸院 光)",67.329865
"Lawrence, Kraft (クラフト・ロレンス)",60.065956
"Vessalius, Oz (オズ＝ベザリウス)",62.84048
"Makunouchi, Ippo (幕之内 一歩)",68.61921
"Kazehaya, Shouta (風早 翔太)",65.103745
Akatsuki (アカツキ),66.06582
"Nishimiya, Yuzuru (西宮 結絃)",65.49789
"Lan, Wangji (蓝 忘机)",63.443665
"Nakano, Yotsuba (中野 四葉)",68.532196
"Zoldyck, Killua (キルア・ゾルディック)",76.446495
"Hatori, Chise (羽鳥 智世)",67.271194
"Morow, Hisoka (ヒソカ・モロウ)",70.38649
"Asakura, You (麻倉 葉)",67.73606
"Misaki, Mei (見崎 鳴)",69.165665
"Otonashi, Yuzuru (音無結弦)",65.16074
"Mikk, Tyki (ティキ・ミック)",62.82412
"Blood, Staz Charlie (ブラッド・チャーリー・スタズ)",59.590336
Ram (ラム),65.98449
"Zeppeli, Caesar Anthonio (シーザー・アントニオ・ツェペリ)",63.260876
"Nightray, Gilbert (ギルバート＝ナイトレイ)",64.77614
"Le Blanc de La Vallière, Louise Françoise (ルイズ・フランソワーズ・ル・ブラン・ド・ラ・ヴァリエール)",67.27221
"Aizen, Sousuke (藍染 惣右介)",71.49315
"Kawai, Rika (川井 リカ)",58.53146
Bondrewd (ボンドルド),68.16232
"Komatsu, Nana (小松 奈々)",70.409164
"Kamado, Tanjirou (竈門 炭治郎)",70.493546
"Itou, Kaiji (伊藤開司)",67.08949
"Kawashima, Ami (川嶋 亜美)",66.156525
Sylphiette (シルフィエット),68.05108
"Cavendish, Diana (ダイアナ・キャベンディッシュ)",60.812553
"Matsuzaka, Satou (松阪 さとう)",61.553993
Jinbe (ジンベエ),69.05368
"Ijichi, Nijika (伊地知 虹夏)",68.6098
Yin (銀),68.596504
"Kotobuki, Tsumugi (琴吹 紬)",69.91228
"Souma, Kyou (草摩 夾)",70.10939
"Bucciarati, Bruno (ブローノ・ブチャラティ)",67.91834
"Brando, Diego (ディエゴ・ブランド)",68.54993
Shin-ah (シンア),64.146034
"Nagisa, Kaworu (渚 カヲル)",68.02349
"Li, Shaoran (李 小狼)",63.389328
"Saten, Ruiko (佐天 涙子)",68.81834
"Okkotsu, Yuuta (乙骨 憂太)",68.312515
"Ushiromiya, Battler (右代宮 戦人)",64.17804
Kyon (キョン),68.65328
"Suou, Tamaki (須王 環)",69.992905
"Nico, Robin (ニコ・ロビン)",71.20098
"Kaga, Kouko (加賀 香子)",67.9342
"Isshiki, Iroha (一色 いろは)",69.45021
Obi (オビ),65.15736
Satoshi (サトシ),60.91089
"Tendou, Satori (天童 覚)",62.90458
"Elric, Alphonse (アルフォンス・エルリック)",73.128426
"Tsugumi, Seishirou (鶫 誠士郎)",63.48216
"Honda, Tooru (本田 透)",69.33141
"von Lohengramm, Reinhard (ラインハルト・フォン・ローエングラム)",71.627556
"Kuroba, Kaito (黒羽 快斗)",67.73575
Maple (メイプル),62.063618
"Itoshiki, Nozomu (糸色 望)",69.821846
"Satou, Tatsuhiro (佐藤 達広)",67.76881
Batou (バトー),61.66604
"Senji, Kiyomasa (千地 清正)",59.492565
"Heartnet, Train (トレイン＝ハートネット)",64.06763
"Minami, Kotori (南 ことり)",62.343067
"Kaneda, Shoutarou (金田 正太郎)",62.880135
Togame (とがめ),66.42944
"Blouse, Sasha (サシャ・ブラウス)",74.68688
"Stadtfeld, Kallen (カレン・シュタットフェルト, 紅月カレン)",69.952385
"Wei, Wuxian (魏 无羡)",66.993225
"Shirai, Kuroko (白井 黒子)",66.10829
Shiroe (シロエ),67.41843
Watashi (私),66.620766
"Kiyose, Haiji (清瀬 灰二)",65.11718
"Pucci, Enrico (エンリコ・プッチ)",62.386612
"Asagiri, Gen (あさぎり ゲン)",68.05372
"Zeppeli, Gyro (ジャイロ・ツェペリ)",72.61736
"Suzuki, Iruma (鈴木 入間)",61.679035
"Amamiya, Ren (雨宮 蓮)",63.60922
Vanitas (ヴァニタス),68.11892
"Sawamura, Eijun (沢村 栄純)",63.990654
"Deviluke, Momo Belia (モモ・ベリア・デビルーク)",71.56193
Fubuki (地獄のフブキ),64.74823
"Wang, Qi (王騎)",64.30135
Sara (サラ),69.820366
"Kururugi, Suzaku (枢木 スザク)",63.46421
Pochita (ポチタ),65.17788
"Boa, Hancock (ボア・ハンコック)",67.34587
"Kirisaki, Chitoge (桐崎 千棘)",69.75657
"Ichinose, Chizuru (一ノ瀬 ちづる)",67.84468
"Yamamoto, Takeshi (山本 武)",63.177883
"Mori, Buntarou (森 文太郎)",67.53623
"Tadokoro, Megumi (田所 恵)",63.93018
Akaza (猗窩座),65.58762
"Furukawa, Akio (古河秋生)",65.28603
"Hoshino, Yutaka (星野 裕)",63.517975
"Watch, Leonardo (レオナルド・ウォッチ)",66.816895
"Kani, Nayuta (可児 那由多)",62.103947
"Isagi, Yoichi (潔 世一)",66.34846
Saber (セイバー),61.511715
Kenshirou (ケンシロウ),66.5784
"Tsuyuri, Kanao (栗花落 カナヲ)",68.45757
"Otosaka, Yuu (乙坂 有宇)",71.36423
Hiro (ヒロ),62.806534
Ray (レイ),68.46282
"Dragneel, Natsu (ナツ・ドラグニル)",75.62854
Beatrice (ベアトリス),64.63408
"Akise, Aru (秋瀬 或)",69.029335
Guts (ガッツ),71.674126
Dandy (ダンディ),65.316795
"Koibuchi, Kuranosuke (鯉淵 蔵之介)",65.59761
"Hinata, Shouyou (日向 翔陽)",71.53339
Uta (ウタ),67.245964
"Son, Gokuu (孫 悟空)",71.48724
Momonga (モモンガ),71.0333
"Kuronuma, Sawako (黒沼 爽子)",68.211174
"Kaminari, Denki (上鳴 電気)",64.80412
"Mustang, Roy (ロイ・マスタング)",72.746506
Yui (ユイ),66.436325
"Joestar, Johnny (ジョニィ・ジョースター)",72.0325
Kagura (神楽),71.8768
"Nakahara, Misaki (中原 岬)",67.55564
Makima (マキマ),73.31916
"Hyuuga, Hinata (日向 ヒナタ)",75.7876
"Mankanshoku, Mako (満艦飾 マコ)",67.927025
Nezumi (ネズミ),68.22865
"Makishima, Shougo (槙島 聖護)",69.983826
"Hyuuga, Neji (日向 ネジ)",67.512085
Meliodas (メリオダス),71.024704
"Emiya, Shirou (衛宮 士郎)",67.898285
Nanachi (ナナチ),69.76358
Albedo (アルベド),68.27798
Gaara (我愛羅),71.21421
"de Jarjayes, Oscar François (オスカル・フランソワ・ド・ジャルジェ)",66.3596
"Hatsuseno, Alpha (初瀬野アルファ)",60.544212
"Sarashina, Ruka (更科 瑠夏)",67.182594
"Hiruma, Youichi (蛭魔 妖一)",67.792114
"Uraraka, Ochako (麗日 お茶子)",66.62853
"Kanda, Yuu (神田 ユウ)",66.28526
Hestia (ヘスティア),67.26773
"Donquixote, Doflamingo (ドンキホーテ・ドフラミンゴ)",64.376396
"Kurosaki, Ichigo (黒崎 一護)",72.91501
Piccolo (ピッコロ),68.56847
"Tsukino, Usagi (月野 うさぎ)",74.22407
"Yazawa, Niko (矢澤 にこ)",67.15899
"Nagatoro, Hayase (長瀞 早瀬)",66.74458
"Oreki, Houtarou (折木 奉太郎)",70.04773
Madara (斑),68.14426
Kobayashi (小林さん),65.88912
"Souma, Yuki (草摩 由希)",65.25825
"Asuka, Ryou (飛鳥 了)",63.488426
Sesshoumaru (殺生丸),67.89245
"Arlert, Armin (アルミン・アルレルト)",73.759796
"Kotegawa, Yui (古手川 唯)",61.751152
"Kirishima, Touka (霧嶋 董香)",69.86158
"Novachrono, Julius (ユリウス・ノヴァクロノ)",58.94697
Kurapika (クラピカ),71.959305
"Urameshi, Yuusuke (浦飯 幽助)",66.854095
"Namikaze, Minato (波風 ミナト)",69.2236
"Shiina, Mayuri (椎名 まゆり)",70.835846
"Kasuga, Arata (春日 アラタ)",63.01147
"Tokuchi, Toua (渡久地 東亜)",69.90667
"Osana, Najimi (長名 なじみ)",67.110825
Genos (ジェノス),68.90343
"Sutcliff, Grell (グレル・サトクリフ)",69.15602
"Kuroki, Tomoko (黒木 智子)",68.2758
"Forger, Loid (ロイド・フォージャー)",70.1204
"Hughes, Maes (マース・ヒューズ)",67.70081
"Okabe, Rintarou (岡部 倫太郎)",75.56647
"Miyazono, Kaori (宮園 かをり)",71.077255
"Armstrong, Olivier Mira (オリヴィエ・ミラ・アームストロング)",67.17351
"Kaiki, Deishuu (貝木 泥舟)",70.74633
"Sonoda, Umi (園田 海未)",65.4315
Black☆Star (ブラック☆スター),68.88173
"Hikigaya, Hachiman (比企谷 八幡)",73.60104
"Yoshida, Haru (吉田 春)",67.53224
"Ooe, Kintarou (大江 錦太郎)",66.512695
"Nanase, Haruka (七瀬 遙)",67.884605
"Grimmer, Wolfgang (ヴォルフガンググリマー)",70.35071
"Komi, Shouko (古見 硝子)",68.60019
"Testarossa, Fate (フェイト・テスタロッサ)",62.499863
"Kumagawa, Misogi (球磨川 禊)",66.1274
Haku (ハク),64.87569
"Itsuka, Kotori (五河 琴里)",64.392784
"Baji, Keisuke (場地 圭介)",69.93815
"Honda, Gorou (茂野 吾郎)",64.76583
"Hayasaka, Ai (早坂 愛)",72.14033
"Hoshino, Ruby (星野 瑠美衣)",63.684784
"Kuran, Kaname (玖蘭 枢)",66.64925
Kusuriuri (薬売り),67.30942
"Gouda, Takeo (剛田 猛男)",64.30479
"Sasaki, Haise (佐々木 琲世)",66.266655
"Break, Xerxes (ザークシーズ＝ブレイク)",72.20906
"Kousaka, Reina (高坂 麗奈)",65.08294
"Takasugi, Shinsuke (高杉 晋助)",67.63968
"Khun, Aguero Agnes (쿤 아게로 아그니스 / クン・アゲロ・アグネス)",66.22844
"Shirogane, Miyuki (白銀 御行)",68.69206
Akashi (明石),60.09467
"Wolfwood, Nicholas D. (ニコラス・D・ウルフウッド)",66.60656
Brook (ブルック),69.7386
"Kurosawa, Kakeru (黒沢翔)",64.3526
"Aomine, Daiki (青峰 大輝)",69.55897
San (サン),64.27082
"Haruno, Sakura (春野 サクラ)",66.9311
C.C. (シー・ツー),73.75692
"Voltia, Luck (ラック・ボルディア)",63.41785
"Inverse, Lina (リナ・インバース)",62.958843
"Zoë, Hange (ハンジ・ゾエ)",70.12117
Phil (フィル),59.97042
"Hatake, Kakashi (はたけ カカシ)",73.69737
"Jaegerjaquez, Grimmjow (グリムジョー・ジャガージャック)",68.40867
"Tokoyami, Fumikage (常闇 踏陰)",64.36364
"Kanoe, Yuuko (庚 夕子)",66.17879
"Gundou, Misuzu (群堂 みすず)",64.99609
Ban (バン),65.965294
Reg (レグ),62.32759
"Akashi, Seijuurou (赤司 征十郎)",68.214775
"Oshino, Ougi (忍野 扇)",73.24993
"Hirako, Shinji (平子 真子)",60.86293
"Shikimori, Miyako (式守都)",66.69458
"Kageyama, Shigeo (影山 茂夫)",69.47626
"Hachikuji, Mayoi (八九寺 真宵)",69.67535
"Littner, Yoko (ヨーコ・リットナー)",68.44886
"Tomoe, Mami (巴 マミ)",66.79087
"Sakurasawa, Sumi (桜沢 墨)",66.28507
Ginko (ギンコ),70.59702
Kuroyukihime (黒雪姫),67.09157
"Xie, Lian (谢 怜)",65.66759
"Hayakawa, Aki (早川 アキ)",69.26246
"Tenma White, Gabriel (天真=ガヴリール=ホワイト)",58.001785
Vivy (ヴィヴィ),67.409
"Higurashi, Kagome (日暮 かごめ)",64.85652
"Sengoku, Nadeko (千石 撫子)",67.15577
"Oikawa, Tooru (及川 徹)",70.485695
"Takami, Keigo (鷹見 啓悟)",65.38064
Franky (フランキー),68.26274
"Montgomery, Lucy Maud (ルーシー・モード・モンゴメリ)",65.5448
"Nifuji, Hirotaka (二藤 宏高)",64.16727
"Hasegawa, Langa (馳河 ランガ)",66.56664
"Tsushima, Yoshiko (津島 善子)",63.174774
"Komai, Hasuki (狛井 蓮季)",63.773804
"Trafalgar, Law (トラファルガー・ロー)",71.36373
Lavi (ラビ),68.10987
"Suou, Mikoto (周防 尊)",67.316376
Akame (アカメ),71.11596
Yona (ヨナ),67.90265
"Akagi, Shigeru (赤木しげる)",63.947155
"Katagiri, Yuuichi (片切 友一)",69.40154
Alice (アリス),68.08858
"Shiratori, Aira (白鳥 愛羅)",66.07146
Ichigo (イチゴ),77.821594
"Chitanda, Eru (千反田 える)",70.13567
"Kirigaya, Kazuto (桐ヶ谷 和人)",72.848434
"Nakamura, Sawa (仲村 佐和)",65.0021
"Niizuma, Eiji (新妻 エイジ)",65.616234
"Akemi, Homura (暁美 ほむら)",71.27646
Sabo (サボ),60.52147
"Fushiguro, Megumi (伏黒 恵)",68.00218
Envy (エンヴィー),66.81591
Lubbock (ラバック),64.13273
"Sakurajima, Mai (桜島 麻衣)",72.92178
"Hitsugaya, Toushirou (日番谷 冬獅郎)",67.70574
"Cheng, Xiaoshi (程 小時)",64.8564
"Fujiwara, Chika (藤原 千花)",72.50592
"Claes, Catarina (カタリナ・クラエス)",65.52368
"Kafuu, Chino (香風 智乃)",64.26861
"Oumae, Kumiko (黄前 久美子)",70.17315
"Kitahara, Iori (北原 伊織)",68.18913
"Nakano, Azusa (中野 梓)",73.21988
"Nakahara, Chuuya (中原 中也)",68.52354
"Ryuuguu, Rena (竜宮 レナ)",70.47202
"Ichinose, Guren (一瀬 グレン)",66.744415
Gin (ギン),66.2185
"Kuriyama, Mirai (栗山 未来)",68.729
"Kotatsu, Tamaki (環 古達)",65.043365
Konjiki no Yami (金色の闇),67.54349
"Shiina, Mashiro (椎名 ましろ)",69.87353
"Toogata, Mirio (通形 ミリオ)",68.068245
"Kawamoto, Hinata (川本 ひなた)",67.76763
"Gojou, Satoru (五条 悟)",72.65335
Accelerator (一方通行 〈アクセラレータ〉),68.73299
"Natsume, Takashi (夏目貴志)",69.62281
"Kagami, Taiga (火神 大我)",64.5139
Rider (ライダー),68.11588
"Ueno, Naoka (植野 直花)",60.358387
"Ayase, Chihaya (綾瀬 千早)",69.050514
Echidna (エキドナ),68.07592
"Shinmon, Benimaru (紅丸 新門)",66.03628
Pikachu (ピカチュウ),63.595062
Power (パワー),71.60643
"Ryuuguuji, Ken (龍宮寺 堅)",66.12258
Tatsu (龍),63.909924
"Yamaguchi, Tadashi (山口 忠)",63.98644
Shanks (シャンクス),69.52175
Crona (クロナ),68.56057
"Sakata, Gintoki (坂田 銀時)",74.58801
"Uchiha, Itachi (うちは イタチ)",73.632126
"Toshinou, Kyouko (歳納 京子)",66.00113
"Mizunashi, Akari (水無 灯里)",66.812836
"Kageyama, Tobio (影山 飛雄)",68.72554
Satou (佐藤),67.78147
"Takimoto, Hifumi (滝本 ひふみ)",64.80168
"Haruhara, Haruko (ハルハラ・ハル子)",66.81206
Eureka (エウレカ),60.992367
"Rokudou, Mukuro (六道 骸)",63.292458
Gilgamesh (ギルガメッシュ / アーチャー),70.084785
"Akashiya, Moka (赤夜 萌香)",66.64087
"Roronoa, Zoro (ロロノア・ゾロ)",74.960396
"Yagami, Kazuma (八神 和麻)",65.04475
"Tokitou, Muichirou (時透 無一郎)",67.33141
Eugeo (ユージオ),65.805405
Greed (グリード),69.022675
Emma (エマ),67.3496
Pen Pen (ペンペン),64.2456
"Donquixote, Rosinante (ドンキホーテ・ロシナンテ)",65.724495
"Gokudera, Hayato (獄寺 隼人)",63.060604
"Yamada, Ryou (山田 リョウ)",68.05452
"Mitsuya, Takashi (三ツ谷 隆)",64.75252
"Kiryuu, Zero (錐生 零)",69.70711
"Tomori, Nao (友利 奈緒)",69.64532
"Uchiha, Obito (うちは オビト)",70.808205
Hyakkimaru (百鬼丸),69.157646
"Ludenberg, Celestia (セレスティア・ルーデンベルク)",61.53597
Xin (信),65.935684
Tanaka (田中),64.3497
"Shokuhou, Misaki (食蜂 操祈)",63.63196
"Kusanagi, Motoko (草薙 素子)",68.92775
"Hiroi, Kikuri (廣井 きくり)",62.800663
"Chidori, Kaname (千鳥 かなめ)",65.23123
Kaonashi (カオナシ),63.232952
"Yonsa, Balsa (バルサ)",63.295647
"Kamui, Kanna (カンナ・カムイ)",70.25075
Yuno (ユノ),64.74301
"Shimura, Shinpachi (志村 新八)",61.546574
Calcifer (カルシファー),64.87586
"Aznable, Char (シャア・アズナブル)",66.1964
"Usami, Akihiko (宇佐見 秋彦)",61.227154
"Tsukiyomi, Ikuto (月詠 幾斗)",64.922455
"Sonozaki, Mion (園崎 魅音)",64.019936
"Uzui, Tengen (宇髄 天元)",66.05453
Mine (マイン),66.26746
Chii (ちぃ),68.68184
"Fujioka, Haruhi (藤岡 ハルヒ)",69.99115
"Monkey D., Luffy (モンキー・D・ルフィ)",68.737495
"Edward, Newgate (エドワード・ニューゲート)",66.50358
"Lupin III, Arsene (ルパン三世)",68.1143
"Misaka, Mikoto (御坂 美琴)",70.00244
"Shiraishi, Urara (白石 うらら)",66.285164
"Hua, Cheng (花 城)",65.74627
"Takarada, Rikka (宝多 六花)",66.164986
"Bachira, Meguru (蜂楽 廻)",67.12716
Totoro (トトロ),64.31104
"Miyamoto, Musashi (宮本 武蔵)",70.333916
"Tachibana, Makoto (橘 真琴)",65.31384
"Kirisu, Mafuyu (桐須 真冬)",60.89031
"Toujou, Koneko (塔城 小猫)",65.945755
"Uryuu, Minene (雨流 みねね)",67.32887
