Nama,Nilai_Ujian
"Yuuki, Makoto (有里 湊 / 結城 理)",65.15
"Dreyar, Laxus (ラクサス・ドレアー)",65.25
"Souma, Momiji (草摩 紅葉)",65.09
"Yatogami, Tooka (夜刀神 十香)",67.08
"Lagusa, Angelo (アヴィリオ・ブルーノ / アンジェロ・ラクーザ)",66.06
Diablo (ディアブロ),65.34
Alucard (アーカード),71.02
"Miniwa, Tsumiki (御庭 つみき)",63.43
"Shirayuki, Mizore (白雪 みぞれ)",64.36
"Stein, Franken (フランケン シュタイン)",66.93
"Arima, Kousei (有馬 公生)",67.86
"Higashikata, Jousuke (東方 定助)",64.35
"Ichinose, Kotomi (一ノ瀬 ことみ)",66.57
Ymir (ユミル),63.93
Frieren (フリーレン),71.13
"Nota Seniorious, Chtholly (クトリ・ノタ・セニオリス)",64.97
"Tsutsukakushi, Tsukiko (筒隠 月子)",64.95
"Sukehiro, Yami (ヤミ・スケヒロ)",70.25
Kumoko (私),66.87
"Degurechaff, Tanya (ターニャ・デグレチャフ)",69.97
"Oshino, Meme (忍野 メメ)",66.72
The Skull Knight (髑髏の騎士),64.79
"Hyakuya, Yuuichirou (百夜 優一郎)",66.26
"Nanba, Mutta (南波六太)",62.78
"Harvent, Miria (ミリア・ハーヴェント)",69.09
"Argyle, Felix (フェリックス・アーガイル / フェリス)",64.36
"Sakuragi, Hanamichi (桜木 花道)",70.94
"Hoshino, Ai (星野 アイ)",72.32
"Mabuchi, Kou (馬渕 洸)",66.24
"Hazuki, Nagisa (葉月 渚)",65.38
"Cranel, Bell (ベル・クラネル)",68.25
"Mitsuba, Sousuke (三葉 惣助)",63.33
"Yashiro, Nene (八尋 寧々)",62.43
"Okumura, Rin (奥村 燐)",72.08
"Furude, Rika (古手 梨花)",68.01
Jeanne (ジャンヌ),62.88
"Rengoku, Kyoujurou (煉獄 杏寿郎)",68.82
"Pheles, Mephisto (メフィスト・フェレス)",68.37
"Evergarden, Violet (ヴァイオレット・エヴァーガーデン)",71.38
Yami Yuugi (闇の遊戯),66.38
Shiro (シロ),68.4
Death the Kid (デス・ザ・キッド),68.51
"Aioi, Yuuko (相生 祐子)",66.88
"Gasai, Yuno (我妻 由乃)",71.36
"Victoria, Seras (セラス・ヴィクトリア)",64.82
"Ishida, Uryuu (石田 雨竜)",62.6
"Katsura, Kotarou (桂 小太郎)",69.97
"Kaburagi, Kotetsu T. (鏑木・Ｔ・虎徹/ ワイルドタイガー)",64.8
"Milizé, Vladilena (ヴラディレーナ・ミリーゼ)",70.5
All Might (オール・マイト),69.17
"Ayanami, Rei (綾波 レイ)",76.5
"Giovanna, Giorno (ジョルノ・ジョバァーナ)",67.02
"Midorima, Shintarou (緑間 真太郎)",67.02
"Saluja, Alibaba (アリババ・サルージャ)",65.2
"Katsuragi, Misato (葛城 ミサト)",71.86
"Sakagami, Tomoyo (坂上 智代)",68.21
"Marvell, Wendy (ウェンディ・マーベル)",60.71
"Sanka, Rea (散華 礼弥)",61.18
Denji (デンジ),71.5
"Armstrong, Alex Louis (アレックス・ルイ・アームストロング)",66.59
"Migurdia, Roxy (ロキシー・ミグルディア)",70.02
"Nishikigi, Chisato (錦木 千束)",69.72
"Kuwabara, Kazuma (桑原 和真)",67.36
Iris (アイリス),64.86
"Azusagawa, Kaede (梓川 花楓)",63.41
Caiman (カイマン),67.13
"Souryuu, Asuka Langley (惣流・アスカ・ラングレー)",69.78
"Tsukiyama, Shuu (月山 習)",65.97
"Emiya, Kiritsugu (衛宮 切嗣)",70.27
"Morita, Shinobu (森田 忍)",62.91
"Braun, Gabi (ガビ・ブラウン)",69.84
"Mercury, Rory (ロゥリィ・マーキュリー)",69.87
"Okita, Sougo (沖田 総悟)",67.02
"Kotegawa, Chisa (古手川 千紗)",69.47
"Echizen, Ryouma (越前  リョーマ)",65.75
Tatsumaki (戦慄のタツマキ),67.86
"Ishigami, Senkuu (石神 千空)",69.87
Archer (アーチャー),68.96
"Samejima, Mamimi (サメジマ・マミ美)",64.55
"Kanzaki, Urumi (神崎 麗美)",63.61
"Futaba, Rio (双葉 理央)",68.42
"Midoriya, Izuku (緑谷 出久)",75.83
"Haninozuka, Mitsukuni (埴之塚 光邦)",67.22
Balalaika (バラライカ),66.58
"Shihouin, Yoruichi (四楓院 夜一)",68.82
"Lamperouge, Lelouch (ルルーシュ・ランペルージ)",75.5
"Nakiri, Erina (薙切 えりな)",67.15
Phosphophyllite (フォスフォフィライト),68.24
Morgiana (モルジアナ),65.73
"Izumi, Shinichi (泉 新一)",67.48
Kino (キノ),68.65
"Deviluke, Lala Satalin (ララ・サタリン・デビルーク)",65.88
"Hino, Rei (火野 レイ)",64.96
"Nijimura, Okuyasu (虹村 億泰)",69.35
Lucy (ルーシー),68.97
"Hanagaki, Takemichi (花垣 武道)",63.73
"Nara, Shikamaru (奈良 シカマル)",72.18
Aladdin (アラジン),66.14
"Aizawa, Shouta (相澤 消太)",69.89
"Gotou, Hitori (後藤 ひとり)",71.97
"Wallenstein, Ais (アイズ・ヴァレンシュタイン)",68.36
"Fujiwara, Bunta (藤原 文太)",65.09
"Anarchy, Stocking (ストッキング・アナーキー)",67.87
"Okazaki, Tomoya (岡崎 朋也)",71.17
Himmel (ヒンメル),64.38
"Aragaki, Ayase (新垣 あやせ)",61.73
"Asui, Tsuyu (蛙吹 梅雨)",67.9
"Portgas D., Ace (ポートガス・D・エース)",68.68
"Anderson, Alexander (アレクサンド・アンデルセン)",60.77
"Tempest, Rimuru (リムル＝テンペスト)",70.84
"Getou, Suguru (夏油 傑)",67.39
"Thierry, Laurent (ローラン・ティエリー)",63.77
"Kagamihara, Nadeshiko (各務原 なでしこ)",81.4
Ein (アイン),66.3
"Albarn, Maka (マカ＝アルバーン)",67.46
"Fujibayashi, Kyou (藤林 杏)",67.49
"Zenin, Maki (禪院 真希)",68.82
"Kamado, Nezuko (竈門 禰豆子)",69.66
"Momobami, Kirari (桃喰 綺羅莉)",60.84
"Hitachiin, Kaoru (常陸院 馨)",64.95
Tatsumi (タツミ),66.62
"Iwakura, Lain (岩倉 玲音)",70.55
"Nakano, Nino (中野 二乃)",71.39
Togata (トガタ),62.86
Zero Two (ゼロツー),76.53
"Azusagawa, Sakuta (梓川 咲太)",70.12
"Suwa, Hiroto (須和 弘人)",64.58
"Ogiwara, Sayu (荻原 沙優)",63.49
"Kuujou, Joutarou (空条 承太郎)",74.44
Jin (仁),69.1
"Ackerman, Mikasa (ミカサ・アッカーマン)",73.14
Rem (レム),71.89
"Callenreese, Aslan Jade (アスラン・ジェイド・カーレンリース / アッシュ・リンクス)",68.91
"Paladiknight, Leorio (レオリオ=パラディナｲﾄ)",67.48
"Sunohara, Youhei (春原 陽平)",64.02
Hei (黒（ヘイ）),70.07
"Kanbaru, Suruga (神原 駿河)",66.24
"Fullbuster, Gray (グレイ・フルバスター)",69.35
"Doma, Umaru (土間 埋)",67.82
"Okumura, Eiji (奥村 英二)",68.61
Vash the Stampede (ヴァッシュ・ザ・スタンピード),71.28
Monokuma (モノクマ),63.58
"Onizuka, Eikichi (鬼塚 英吉)",80.52
"Endo, Kenji (遠藤 健児)",64.54
"Hitachiin, Hikaru (常陸院 光)",66.75
"Lawrence, Kraft (クラフト・ロレンス)",60.47
"Vessalius, Oz (オズ＝ベザリウス)",64.63
"Makunouchi, Ippo (幕之内 一歩)",67.99
"Kazehaya, Shouta (風早 翔太)",64.48
Akatsuki (アカツキ),64.99
"Nishimiya, Yuzuru (西宮 結絃)",65.19
"Lan, Wangji (蓝 忘机)",62.69
"Nakano, Yotsuba (中野 四葉)",69.41
"Zoldyck, Killua (キルア・ゾルディック)",74.96
"Hatori, Chise (羽鳥 智世)",67.21
"Morow, Hisoka (ヒソカ・モロウ)",71.45
"Asakura, You (麻倉 葉)",66.66
"Misaki, Mei (見崎 鳴)",68.24
"Otonashi, Yuzuru (音無結弦)",67.17
"Mikk, Tyki (ティキ・ミック)",63.55
"Blood, Staz Charlie (ブラッド・チャーリー・スタズ)",61.64
Ram (ラム),65.15
"Zeppeli, Caesar Anthonio (シーザー・アントニオ・ツェペリ)",62.24
"Nightray, Gilbert (ギルバート＝ナイトレイ)",66.51
"Le Blanc de La Vallière, Louise Françoise (ルイズ・フランソワーズ・ル・ブラン・ド・ラ・ヴァリエール)",67.22
"Aizen, Sousuke (藍染 惣右介)",69.84
"Kawai, Rika (川井 リカ)",60.39
Bondrewd (ボンドルド),68.85
"Komatsu, Nana (小松 奈々)",71.48
"Kamado, Tanjirou (竈門 炭治郎)",70.14
"Itou, Kaiji (伊藤開司)",68.67
"Kawashima, Ami (川嶋 亜美)",65.39
Sylphiette (シルフィエット),68.01
"Cavendish, Diana (ダイアナ・キャベンディッシュ)",61.77
"Matsuzaka, Satou (松阪 さとう)",60.48
Jinbe (ジンベエ),70.31
"Ijichi, Nijika (伊地知 虹夏)",67.91
Yin (銀),67.07
"Kotobuki, Tsumugi (琴吹 紬)",70.99
"Souma, Kyou (草摩 夾)",69.87
"Bucciarati, Bruno (ブローノ・ブチャラティ)",67.83
"Brando, Diego (ディエゴ・ブランド)",66.23
Shin-ah (シンア),64.58
"Nagisa, Kaworu (渚 カヲル)",67.4
"Li, Shaoran (李 小狼)",64.61
"Saten, Ruiko (佐天 涙子)",67.3
"Okkotsu, Yuuta (乙骨 憂太)",68.35
"Ushiromiya, Battler (右代宮 戦人)",64.58
Kyon (キョン),70.05
"Suou, Tamaki (須王 環)",69.6
"Nico, Robin (ニコ・ロビン)",70.1
"Kaga, Kouko (加賀 香子)",67.82
"Isshiki, Iroha (一色 いろは)",69.48
Obi (オビ),65.53
Satoshi (サトシ),62.62
"Tendou, Satori (天童 覚)",64.33
"Elric, Alphonse (アルフォンス・エルリック)",72.18
"Tsugumi, Seishirou (鶫 誠士郎)",63.76
"Honda, Tooru (本田 透)",69.82
"von Lohengramm, Reinhard (ラインハルト・フォン・ローエングラム)",70.95
"Kuroba, Kaito (黒羽 快斗)",68.15
Maple (メイプル),61.34
"Itoshiki, Nozomu (糸色 望)",69.78
"Satou, Tatsuhiro (佐藤 達広)",67.38
Batou (バトー),61.65
"Senji, Kiyomasa (千地 清正)",60.2
"Heartnet, Train (トレイン＝ハートネット)",63.81
"Minami, Kotori (南 ことり)",62.97
"Kaneda, Shoutarou (金田 正太郎)",66.34
Togame (とがめ),65.72
"Blouse, Sasha (サシャ・ブラウス)",75.86
"Stadtfeld, Kallen (カレン・シュタットフェルト, 紅月カレン)",69.12
"Wei, Wuxian (魏 无羡)",67.84
"Shirai, Kuroko (白井 黒子)",67.24
Shiroe (シロエ),67.09
Watashi (私),66.13
"Kiyose, Haiji (清瀬 灰二)",65.17
"Pucci, Enrico (エンリコ・プッチ)",62.82
"Asagiri, Gen (あさぎり ゲン)",68.05
"Zeppeli, Gyro (ジャイロ・ツェペリ)",77.43
"Suzuki, Iruma (鈴木 入間)",63.89
"Amamiya, Ren (雨宮 蓮)",62.73
Vanitas (ヴァニタス),69.33
"Sawamura, Eijun (沢村 栄純)",65.41
"Deviluke, Momo Belia (モモ・ベリア・デビルーク)",74.25
Fubuki (地獄のフブキ),67.2
"Wang, Qi (王騎)",64.7
Sara (サラ),68.88
"Kururugi, Suzaku (枢木 スザク)",64.07
Pochita (ポチタ),65.61
"Boa, Hancock (ボア・ハンコック)",68.68
"Kirisaki, Chitoge (桐崎 千棘)",70.94
"Ichinose, Chizuru (一ノ瀬 ちづる)",67.19
"Yamamoto, Takeshi (山本 武)",62.27
"Mori, Buntarou (森 文太郎)",75.73
"Tadokoro, Megumi (田所 恵)",64.56
Akaza (猗窩座),64.17
"Furukawa, Akio (古河秋生)",65.88
"Hoshino, Yutaka (星野 裕)",62.99
"Watch, Leonardo (レオナルド・ウォッチ)",67.32
"Kani, Nayuta (可児 那由多)",62.64
"Isagi, Yoichi (潔 世一)",65.8
Saber (セイバー),63.89
Kenshirou (ケンシロウ),67.14
"Tsuyuri, Kanao (栗花落 カナヲ)",68.12
"Otosaka, Yuu (乙坂 有宇)",70.16
Hiro (ヒロ),63.22
Ray (レイ),69.09
"Dragneel, Natsu (ナツ・ドラグニル)",74.81
Beatrice (ベアトリス),64.99
"Akise, Aru (秋瀬 或)",69.96
Guts (ガッツ),72.22
Dandy (ダンディ),65.72
"Koibuchi, Kuranosuke (鯉淵 蔵之介)",65.79
"Hinata, Shouyou (日向 翔陽)",70.56
Uta (ウタ),68.1
"Son, Gokuu (孫 悟空)",70.97
Momonga (モモンガ),70.84
"Kuronuma, Sawako (黒沼 爽子)",70.56
"Kaminari, Denki (上鳴 電気)",64.87
"Mustang, Roy (ロイ・マスタング)",71.78
Yui (ユイ),68.42
"Joestar, Johnny (ジョニィ・ジョースター)",71.15
Kagura (神楽),72.18
"Nakahara, Misaki (中原 岬)",67.17
Makima (マキマ),71.42
"Hyuuga, Hinata (日向 ヒナタ)",73.9
"Mankanshoku, Mako (満艦飾 マコ)",66.76
Nezumi (ネズミ),68.96
"Makishima, Shougo (槙島 聖護)",69.23
"Hyuuga, Neji (日向 ネジ)",68.77
Meliodas (メリオダス),69.93
"Emiya, Shirou (衛宮 士郎)",70.18
Nanachi (ナナチ),70.25
Albedo (アルベド),67.64
Gaara (我愛羅),71.57
"de Jarjayes, Oscar François (オスカル・フランソワ・ド・ジャルジェ)",66.18
"Hatsuseno, Alpha (初瀬野アルファ)",60.8
"Sarashina, Ruka (更科 瑠夏)",65.21
"Hiruma, Youichi (蛭魔 妖一)",67.15
"Uraraka, Ochako (麗日 お茶子)",65.95
"Kanda, Yuu (神田 ユウ)",66.97
Hestia (ヘスティア),68.32
"Donquixote, Doflamingo (ドンキホーテ・ドフラミンゴ)",66.24
"Kurosaki, Ichigo (黒崎 一護)",73.25
Piccolo (ピッコロ),68.16
"Tsukino, Usagi (月野 うさぎ)",73.42
"Yazawa, Niko (矢澤 にこ)",67.5
"Nagatoro, Hayase (長瀞 早瀬)",66.6
"Oreki, Houtarou (折木 奉太郎)",70.13
Madara (斑),68.59
Kobayashi (小林さん),66.74
"Souma, Yuki (草摩 由希)",64.08
"Asuka, Ryou (飛鳥 了)",63.22
Sesshoumaru (殺生丸),69.35
"Arlert, Armin (アルミン・アルレルト)",73.17
"Kotegawa, Yui (古手川 唯)",62.84
"Kirishima, Touka (霧嶋 董香)",69.57
"Novachrono, Julius (ユリウス・ノヴァクロノ)",61.2
Kurapika (クラピカ),71.78
"Urameshi, Yuusuke (浦飯 幽助)",67.23
"Namikaze, Minato (波風 ミナト)",68.14
"Shiina, Mayuri (椎名 まゆり)",71.25
"Kasuga, Arata (春日 アラタ)",62.76
"Tokuchi, Toua (渡久地 東亜)",69.83
"Osana, Najimi (長名 なじみ)",66.97
Genos (ジェノス),69.23
"Sutcliff, Grell (グレル・サトクリフ)",69.32
"Kuroki, Tomoko (黒木 智子)",67.71
"Forger, Loid (ロイド・フォージャー)",70.43
"Hughes, Maes (マース・ヒューズ)",68.66
"Okabe, Rintarou (岡部 倫太郎)",74.61
"Miyazono, Kaori (宮園 かをり)",69.51
"Armstrong, Olivier Mira (オリヴィエ・ミラ・アームストロング)",67.31
"Kaiki, Deishuu (貝木 泥舟)",70.78
"Sonoda, Umi (園田 海未)",65.89
Black☆Star (ブラック☆スター),67.93
"Hikigaya, Hachiman (比企谷 八幡)",74.22
"Yoshida, Haru (吉田 春)",67.4
"Ooe, Kintarou (大江 錦太郎)",66.91
"Nanase, Haruka (七瀬 遙)",65.95
"Grimmer, Wolfgang (ヴォルフガンググリマー)",70.81
"Komi, Shouko (古見 硝子)",69.01
"Testarossa, Fate (フェイト・テスタロッサ)",62.84
"Kumagawa, Misogi (球磨川 禊)",67.82
Haku (ハク),64.15
"Itsuka, Kotori (五河 琴里)",64.12
"Baji, Keisuke (場地 圭介)",68.27
"Honda, Gorou (茂野 吾郎)",64.4
"Hayasaka, Ai (早坂 愛)",71.61
"Hoshino, Ruby (星野 瑠美衣)",65.22
"Kuran, Kaname (玖蘭 枢)",66.76
Kusuriuri (薬売り),67.57
"Gouda, Takeo (剛田 猛男)",64.66
"Sasaki, Haise (佐々木 琲世)",67.38
"Break, Xerxes (ザークシーズ＝ブレイク)",69.72
"Kousaka, Reina (高坂 麗奈)",65.43
"Takasugi, Shinsuke (高杉 晋助)",66.7
"Khun, Aguero Agnes (쿤 아게로 아그니스 / クン・アゲロ・アグネス)",68.33
"Shirogane, Miyuki (白銀 御行)",68.19
Akashi (明石),61.66
"Wolfwood, Nicholas D. (ニコラス・D・ウルフウッド)",67.0
Brook (ブルック),70.48
"Kurosawa, Kakeru (黒沢翔)",65.0
"Aomine, Daiki (青峰 大輝)",69.35
San (サン),65.07
"Haruno, Sakura (春野 サクラ)",68.3
C.C. (シー・ツー),72.78
"Voltia, Luck (ラック・ボルディア)",64.09
"Inverse, Lina (リナ・インバース)",63.73
"Zoë, Hange (ハンジ・ゾエ)",71.27
Phil (フィル),62.0
"Hatake, Kakashi (はたけ カカシ)",74.47
"Jaegerjaquez, Grimmjow (グリムジョー・ジャガージャック)",67.55
"Tokoyami, Fumikage (常闇 踏陰)",64.37
"Kanoe, Yuuko (庚 夕子)",67.5
"Gundou, Misuzu (群堂 みすず)",66.49
Ban (バン),67.81
Reg (レグ),63.66
"Akashi, Seijuurou (赤司 征十郎)",67.86
"Oshino, Ougi (忍野 扇)",69.21
"Hirako, Shinji (平子 真子)",62.49
"Shikimori, Miyako (式守都)",66.46
"Kageyama, Shigeo (影山 茂夫)",69.76
"Hachikuji, Mayoi (八九寺 真宵)",69.04
"Littner, Yoko (ヨーコ・リットナー)",67.44
"Tomoe, Mami (巴 マミ)",66.81
"Sakurasawa, Sumi (桜沢 墨)",66.41
Ginko (ギンコ),69.32
Kuroyukihime (黒雪姫),67.47
"Xie, Lian (谢 怜)",64.38
"Hayakawa, Aki (早川 アキ)",68.53
"Tenma White, Gabriel (天真=ガヴリール=ホワイト)",59.72
Vivy (ヴィヴィ),68.69
"Higurashi, Kagome (日暮 かごめ)",64.9
"Sengoku, Nadeko (千石 撫子)",69.63
"Oikawa, Tooru (及川 徹)",70.49
"Takami, Keigo (鷹見 啓悟)",65.51
Franky (フランキー),68.05
"Montgomery, Lucy Maud (ルーシー・モード・モンゴメリ)",66.06
"Nifuji, Hirotaka (二藤 宏高)",63.76
"Hasegawa, Langa (馳河 ランガ)",66.61
"Tsushima, Yoshiko (津島 善子)",64.11
"Komai, Hasuki (狛井 蓮季)",62.91
"Trafalgar, Law (トラファルガー・ロー)",71.05
Lavi (ラビ),68.06
"Suou, Mikoto (周防 尊)",69.47
Akame (アカメ),70.2
Yona (ヨナ),68.59
"Akagi, Shigeru (赤木しげる)",62.44
"Katagiri, Yuuichi (片切 友一)",68.77
Alice (アリス),67.07
"Shiratori, Aira (白鳥 愛羅)",65.92
Ichigo (イチゴ),73.98
"Chitanda, Eru (千反田 える)",69.41
"Kirigaya, Kazuto (桐ヶ谷 和人)",72.43
"Nakamura, Sawa (仲村 佐和)",65.81
"Niizuma, Eiji (新妻 エイジ)",64.8
"Akemi, Homura (暁美 ほむら)",71.47
Sabo (サボ),61.32
"Fushiguro, Megumi (伏黒 恵)",69.86
Envy (エンヴィー),66.26
Lubbock (ラバック),65.68
"Sakurajima, Mai (桜島 麻衣)",72.93
"Hitsugaya, Toushirou (日番谷 冬獅郎)",68.39
"Cheng, Xiaoshi (程 小時)",65.02
"Fujiwara, Chika (藤原 千花)",71.8
"Claes, Catarina (カタリナ・クラエス)",65.75
"Kafuu, Chino (香風 智乃)",63.71
"Oumae, Kumiko (黄前 久美子)",69.16
"Kitahara, Iori (北原 伊織)",67.84
"Nakano, Azusa (中野 梓)",68.82
"Nakahara, Chuuya (中原 中也)",69.78
"Ryuuguu, Rena (竜宮 レナ)",68.93
"Ichinose, Guren (一瀬 グレン)",66.77
Gin (ギン),67.13
"Kuriyama, Mirai (栗山 未来)",69.67
"Kotatsu, Tamaki (環 古達)",66.29
Konjiki no Yami (金色の闇),67.05
"Shiina, Mashiro (椎名 ましろ)",70.36
"Toogata, Mirio (通形 ミリオ)",67.7
"Kawamoto, Hinata (川本 ひなた)",67.1
"Gojou, Satoru (五条 悟)",72.19
Accelerator (一方通行 〈アクセラレータ〉),69.04
"Natsume, Takashi (夏目貴志)",69.6
"Kagami, Taiga (火神 大我)",65.31
Rider (ライダー),68.37
"Ueno, Naoka (植野 直花)",61.74
"Ayase, Chihaya (綾瀬 千早)",70.58
Echidna (エキドナ),68.17
"Shinmon, Benimaru (紅丸 新門)",65.99
Pikachu (ピカチュウ),64.47
Power (パワー),71.64
"Ryuuguuji, Ken (龍宮寺 堅)",65.7
Tatsu (龍),64.49
"Yamaguchi, Tadashi (山口 忠)",63.81
Shanks (シャンクス),68.75
Crona (クロナ),69.21
"Sakata, Gintoki (坂田 銀時)",73.21
"Uchiha, Itachi (うちは イタチ)",72.47
"Toshinou, Kyouko (歳納 京子)",67.32
"Mizunashi, Akari (水無 灯里)",68.87
"Kageyama, Tobio (影山 飛雄)",69.46
Satou (佐藤),64.16
"Takimoto, Hifumi (滝本 ひふみ)",65.23
"Haruhara, Haruko (ハルハラ・ハル子)",68.4
Eureka (エウレカ),64.18
"Rokudou, Mukuro (六道 骸)",62.75
Gilgamesh (ギルガメッシュ / アーチャー),70.12
"Akashiya, Moka (赤夜 萌香)",66.0
"Roronoa, Zoro (ロロノア・ゾロ)",73.83
"Yagami, Kazuma (八神 和麻)",65.72
"Tokitou, Muichirou (時透 無一郎)",68.21
Eugeo (ユージオ),65.68
Greed (グリード),69.77
Emma (エマ),67.85
Pen Pen (ペンペン),64.88
"Donquixote, Rosinante (ドンキホーテ・ロシナンテ)",66.43
"Gokudera, Hayato (獄寺 隼人)",63.54
"Yamada, Ryou (山田 リョウ)",66.67
"Mitsuya, Takashi (三ツ谷 隆)",65.17
"Kiryuu, Zero (錐生 零)",70.79
"Tomori, Nao (友利 奈緒)",69.72
"Uchiha, Obito (うちは オビト)",70.64
Hyakkimaru (百鬼丸),70.49
"Ludenberg, Celestia (セレスティア・ルーデンベルク)",62.21
Xin (信),66.8
Tanaka (田中),64.02
"Shokuhou, Misaki (食蜂 操祈)",62.76
"Kusanagi, Motoko (草薙 素子)",70.11
"Hiroi, Kikuri (廣井 きくり)",62.49
"Chidori, Kaname (千鳥 かなめ)",66.13
Kaonashi (カオナシ),64.51
"Yonsa, Balsa (バルサ)",64.33
"Kamui, Kanna (カンナ・カムイ)",69.47
Yuno (ユノ),65.07
"Shimura, Shinpachi (志村 新八)",63.99
Calcifer (カルシファー),65.14
"Aznable, Char (シャア・アズナブル)",65.53
"Usami, Akihiko (宇佐見 秋彦)",62.5
"Tsukiyomi, Ikuto (月詠 幾斗)",66.28
"Sonozaki, Mion (園崎 魅音)",64.29
"Uzui, Tengen (宇髄 天元)",66.68
Mine (マイン),65.17
Chii (ちぃ),67.52
"Fujioka, Haruhi (藤岡 ハルヒ)",72.78
"Monkey D., Luffy (モンキー・D・ルフィ)",69.03
"Edward, Newgate (エドワード・ニューゲート)",67.57
"Lupin III, Arsene (ルパン三世)",66.37
"Misaka, Mikoto (御坂 美琴)",69.61
"Shiraishi, Urara (白石 うらら)",64.21
"Hua, Cheng (花 城)",67.23
"Takarada, Rikka (宝多 六花)",65.07
"Bachira, Meguru (蜂楽 廻)",67.04
Totoro (トトロ),65.05
"Miyamoto, Musashi (宮本 武蔵)",69.64
"Tachibana, Makoto (橘 真琴)",64.46
"Kirisu, Mafuyu (桐須 真冬)",62.3
"Toujou, Koneko (塔城 小猫)",67.47
"Uryuu, Minene (雨流 みねね)",68.39
"Okazaki, Shinichi (岡崎 真一)",67.23
"Trancy, Alois (アロイス・トランシー)",62.55
Gabimaru (画眉丸),64.97
"Kida, Masaomi (紀田正臣)",61.86
"Forger, Yor (ヨル・フォージャー)",69.53
Norman (ノーマン),67.97
"Kotomine, Kirei (言峰 綺礼)",66.53
"Kasumigaoka, Utaha (霞ヶ丘 詩羽)",67.37
Himeno (姫野),62.51
Yamato (ヤマト),66.8
Garou (ガロウ),69.67
Zeref (ゼレフ),64.44
Isla (アイラ),67.71
Jibril (ジブリール),69.34
Suigintou (水銀燈),66.27
Siesta (シエスタ),63.57
"Kanamori, Sayaka (金森 さやか)",64.62
"Dian, Isaac (アイザック・ディアン)",67.21
"Shiba, Miyuki (司波 深雪)",65.97
"Tsuruga, Ren (敦賀 蓮 / 久遠 ヒズり)",59.65
"Senjougahara, Hitagi (戦場ヶ原 ひたぎ)",73.05
"Gokou, Ruri (五更 瑠璃)",68.88
"Gremory, Rias (リアス・グレモリー)",69.72
Shin (心),63.72
"Zuberg, Alice (アリス・ツーベルク)",70.17
"Shima, Rin (志摩 リン)",68.3
Reki (礫),66.67
